Week ,total deaths,undetected,hospitalized,quarantined,active cases,undetected recovered,recovered,suceptible,vaccinated (not cumulative)
12/16,104,71837.216,133,17826.304,17959.304,200224.024,50056.006,1433911.146,0
12/23,112,78516.416,114,19515.104,19629.104,222552.88,55638.22,1395973.276,"13,235"
12/30,115,76288.08,100,18972.02,19072.02,253298.496,63324.624,1360880.76,15266
1/6/21,142,77398.376,102,19247.594,19349.594,284129.296,71032.324,1320649.816,22335
1/13,182,87572.056,125,21768.014,21893.014,313828.504,78457.126,1268225.286,23374
1/20,190,87269.072,109,21708.268,21817.268,343047.584,85761.896,1232147.912,35447
1/27,162,78319.912,91,19488.978,19579.978,377246.056,94311.514,1202851.562,33318
2/3,140,62369.208,74,15518.302,15592.302,412094.056,103023.514,1183239.618,38295
2/10,153,50696.096,72,12602.024,12674.024,439220.32,109805.08,1166828.456,27327
2/17,139,38638.688,56,9603.672,9659.672,462506.528,115626.632,1155820.808,37703
2/24,143,32265.376,50,8016.344,8066.344,478908.32,119727.08,1144874.536,65539
3/3,140,27636.4,49,6860.1,6909.1,492465.16,123116.29,1134874.95,92482
3/10,131,25298.68,50,6274.67,6324.67,503440.344,125860.086,1124671.55,118379
3/17,116,24584.296,48,6098.074,6146.074,513506.576,128376.644,1113175.336,101500
3/24,101,26498.032,51,6573.508,6624.508,522737.424,130684.356,1098781.172,111800
3/31,99,30889.848,49,7673.462,7722.462,531840.496,132960.124,1080816.608,129000
