Week ,total deaths,undetected,hospitalized,quarantined,active cases,undetected recovered,recovered,suceptible,vaccinated (not cumulative)
12/16,526,24341.536,234,5851.384,6085.384,67844.504,16961.126,636331.066,0
12/23,586,26604.736,261,6390.184,6651.184,75410.48,18852.62,623418.796,715
12/30,662,25849.68,274,6188.42,6462.42,85828.416,21457.104,611452.96,958
1/6/21,765,26225.896,301,6255.474,6556.474,96275.216,24068.804,597727.136,7470
1/13,788,29673.176,316,7102.294,7418.294,106338.584,26584.646,579954.006,9236
1/20,753,29570.512,250,7142.628,7392.628,116239.264,29059.816,567767.152,19092
1/27,773,26538.152,205,6429.538,6634.538,127827.176,31956.794,557810.802,14206
2/3,706,21133.368,130,5153.342,5283.342,139635.176,34908.794,551224.978,38379
2/10,725,17178.016,185,4109.504,4294.504,148826.72,37206.68,545649.576,129329
2/17,600,13092.448,141,3132.112,3273.112,156717.088,39179.272,542039.968,99715
2/24,511,10932.896,102,2631.224,2733.224,162274.72,40568.68,538421.256,84948
3/3,485,9364.4,97,2244.1,2341.1,166868.36,41717.09,535057.95,68930
3/10,430,8572.28,80,2063.07,2143.07,170587.224,42646.806,531652.55,75722
3/17,350,8330.216,53,2029.554,2082.554,173998.096,43499.524,527832.056,51500
3/24,323,8978.672,55,2189.668,2244.668,177125.904,44281.476,522976.612,36600
3/31,331,10466.808,67,2549.702,2616.702,180210.416,45052.604,516880.768,28200
